#serial real imag abs
0.038607 -1.683873 -1.493374 2.250687
0.038863 -1.897482 -1.579679 2.468972
0.039118 2.726964 -0.984933 2.899384
0.039374 2.607761 0.583387 2.672219
0.039630 -0.464116 3.263898 3.296731
0.039885 -7.912041 -1.838517 8.122840
0.040141 -0.428475 1.934543 1.981426
0.040396 -5.098753 2.214221 5.558782
0.040652 1.380682 3.839849 4.080529
0.040907 -0.570548 1.244066 1.368659
0.041163 0.701369 3.625954 3.693164
0.041419 5.989911 0.881601 6.054441
0.041674 0.561290 -1.478964 1.581892
0.041930 3.130776 -0.935978 3.267692
0.042185 0.239723 1.712772 1.729467
0.042441 -3.057683 -1.022652 3.224165
0.042697 -0.950429 -0.304041 0.997876
0.042952 0.406577 2.480015 2.513122
0.043208 2.784901 -3.960418 4.841548
0.043463 2.022517 -1.091287 2.298147
0.043719 -3.362575 -4.871318 5.919176
0.043974 3.254871 1.289409 3.500966
0.044230 -0.962757 1.895536 2.126019
0.044486 1.409088 -0.725472 1.584878
0.044741 -3.855844 2.659900 4.684293
0.044997 -1.398566 -3.163624 3.458974
0.045252 -3.894986 -4.694325 6.099804
0.045508 1.912586 0.498034 1.976366
0.045764 1.948810 -3.944526 4.399675
0.046019 -1.495968 -3.381164 3.697322
0.046275 -2.573393 -0.226116 2.583308
0.046530 0.326678 -0.687007 0.760722
0.046786 0.030296 0.061620 0.068664
0.047041 -2.217891 3.760937 4.366199
0.047297 -1.768693 0.247431 1.785917
0.047553 2.578022 -1.226227 2.854790
0.047808 2.228617 -3.109971 3.826049
0.048064 -3.656081 -1.057837 3.806041
0.048319 3.785331 0.506170 3.819023
0.048575 -1.186188 2.122976 2.431886
0.048831 1.814667 -1.667020 2.464137
0.049086 0.864412 2.302226 2.459157
0.049342 -5.053600 1.397028 5.243144
0.049597 -0.343172 -0.128912 0.366586
0.049853 -1.974021 1.454973 2.452286
0.050108 -3.929681 0.335809 3.944003
0.050364 -1.686715 -3.150028 3.573189
0.050620 -0.602760 -0.879646 1.066347
0.050875 -0.044677 0.981041 0.982058
0.051131 1.767785 -0.967473 2.015209
0.051386 0.068688 2.746265 2.747124
0.051642 4.062757 0.930256 4.167897
0.051898 -1.762272 2.216435 2.831640
0.052153 -2.333551 -1.886144 3.000500
0.052409 -0.484525 0.792693 0.929046
0.052664 0.071883 2.578681 2.579682
0.052920 3.820513 -1.794887 4.221130
0.053175 -2.440092 -2.036450 3.178234
0.053431 -2.695916 -1.866135 3.278784
0.053687 2.594511 3.622813 4.456036
0.053942 2.336996 0.757372 2.456657
0.054198 -3.868395 0.165606 3.871938
0.054453 -0.726311 -1.770865 1.914024
0.054709 -3.599986 2.670942 4.482614
0.054965 2.078569 -0.345690 2.107119
0.055220 -0.940425 -2.388107 2.566604
0.055476 -1.732311 -0.470391 1.795040
0.055731 -4.639208 0.531822 4.669591
0.055987 0.730590 -0.925925 1.179448
0.056243 -1.743435 3.788104 4.170048
0.056498 -1.047009 -4.158276 4.288063
0.056754 1.610351 -0.246941 1.629175
0.057009 -1.140386 0.865815 1.431823
0.057265 2.945581 -1.078409 3.136784
0.057520 -2.466923 2.916022 3.819541
0.057776 2.321714 -3.332117 4.061201
0.058032 0.914829 -0.912604 1.292191
0.058287 1.359394 -2.292143 2.664934
0.058543 -1.344870 0.013820 1.344941
0.058798 0.198315 0.234847 0.307379
